1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100
80 82 27 64 55 74 67 13 68 28 94 3 48 19 62 87 70 78 76 8 12 35 29 88 9 60 97 11 5 7 50 16 100 24 66 49 37 89 18 57 15 46 72 59 23 6 58 38 47 99 79 43 61 75 32 69 14 17 42 41 54 21 56 20 36 39 1 52 2 81 96 44 34 26 65 40 92 91 86 83 4 63 98 25 10 77 53 90 85 45 31 51 30 93 84 22 73 95 71 33
99 29 63 2 82 21 50 83 36 35 75 70 54 89 3 95 20 42 34 67 24 98 53 5 78 100 51 11 48 32 22 64 80 40 17 72 6 1 31 84 19 49 88 28 71 81 38 12 94 26 60 68 76 85 7 10 43 47 16 79 92 56 57 65 66 55 44 74 41 4 25 58 62 91 8 27 69 90 23 77 30 39 15 73 33 96 13 87 61 93 9 46 37 14 86 52 59 45 97 18
85 4 43 47 65 41 76 95 90 5 83 21 44 75 31 48 91 99 2 70 55 79 61 94 29 82 42 73 93 6 97 81 58 16 98 62 28 63 59 37 32 40 53 36 7 89 14 51 33 86 45 78 24 17 25 26 1 23 22 84 60 49 57 18 69 74 10 38 67 46 92 87 54 3 77 8 52 56 80 19 50 64 15 71 30 72 88 100 13 66 96 9 12 35 34 20 27 11 39 68
50 5 15 47 96 49 74 61 95 68 56 33 48 19 34 59 63 27 21 66 82 62 75 24 16 78 32 37 84 1 70 4 64 99 87 79 65 60 40 100 97 44 69 6 89 46 30 10 76 3 71 77 91 52 39 29 90 14 20 57 13 58 9 8 2 23 53 92 67 12 88 94 93 41 18 45 85 80 17 26 7 36 11 28 42 22 86 54 43 55 35 98 72 51 38 73 31 83 81 25
37 54 71 85 7 96 91 100 35 14 69 31 77 67 25 6 84 10 80 48 30 53 90 15 28 94 19 36 16 9 72 29 3 59 56 17 82 58 40 38 63 43 83 33 86 1 88 76 34 45 60 95 23 2 87 78 66 55 24 4 61 5 97 8 32 41 64 75 11 89 65 12 98 74 73 20 46 49 13 93 99 92 21 51 50 22 79 52 57 47 81 39 27 26 18 44 62 42 70 68
21 20 9 100 99 15 54 82 76 17 69 95 5 12 83 75 16 70 34 55 26 46 61 23 44 33 51 88 73 37 27 64 29 31 2 79 22 43 45 25 24 4 87 80 10 41 50 94 96 65 62 38 47 19 8 72 91 67 66 68 57 28 14 98 39 56 52 6 81 32 84 7 74 30 49 89 35 78 1 13 97 60 11 92 48 90 77 71 86 18 53 63 93 42 36 40 58 3 59 85
33 98 28 94 9 14 76 43 17 53 46 73 84 16 31 72 39 96 37 22 81 29 89 62 34 82 87 23 92 78 83 3 30 61 88 67 77 27 91 5 44 85 6 65 70 52 24 71 20 66 38 12 55 54 97 58 15 2 49 10 35 74 25 40 63 93 80 79 50 60 7 4 26 42 100 45 75 47 11 69 41 56 51 95 48 68 36 86 59 13 1 8 21 57 18 64 19 90 32 99
49 18 94 14 70 69 36 90 24 72 37 77 48 95 43 7 32 87 28 71 88 82 56 41 61 10 11 17 26 45 58 19 65 79 1 80 59 96 30 57 35 100 9 83 46 25 81 29 38 53 51 73 68 76 39 84 16 63 92 13 33 52 54 15 66 12 27 98 4 22 2 34 23 47 86 21 42 50 85 93 60 97 64 89 40 62 8 99 67 5 75 20 44 74 6 78 91 31 55 3
53 5 39 9 76 45 24 58 12 27 50 93 99 81 100 59 6 77 84 96 13 66 87 82 29 37 41 25 56 1 26 73 32 74 69 60 78 4 49 19 71 10 64 70 48 90 8 15 61 98 44 38 97 92 7 54 79 2 55 57 36 65 42 88 28 34 86 94 47 63 83 80 89 75 51 95 67 31 30 35 23 85 17 91 22 68 20 43 11 14 18 21 72 46 52 3 40 62 16 33
39 12 36 82 64 68 28 87 41 69 60 77 31 51 61 75 14 15 23 9 6 29 80 18 50 27 76 81 52 26 10 72 38 94 35 11 91 17 22 53 63 34 46 56 92 19 37 71 99 25 8 84 33 32 47 48 30 88 67 5 55 20 45 59 13 16 65 58 70 97 90 96 24 21 57 73 54 78 2 1 49 79 43 66 42 98 83 74 44 4 89 85 3 40 93 62 100 86 7 95
12 8 81 60 99 67 77 73 34 93 53 37 80 70 45 28 58 63 54 26 65 91 47 48 87 1 72 25 39 17 5 35 27 69 4 23 86 76 85 79 50 24 2 83 10 46 51 84 14 32 56 96 74 78 19 15 21 71 61 66 82 49 95 68 42 57 38 13 97 64 30 41 29 44 52 6 36 90 33 18 43 62 40 88 92 22 89 55 98 7 9 3 100 94 11 16 59 31 20 75
44 95 64 54 5 88 52 94 43 47 39 87 50 34 36 67 73 25 46 20 45 96 61 19 77 42 57 7 92 90 27 38 17 97 1 26 49 72 35 10 6 76 48 53 80 83 68 12 84 41 70 31 16 28 81 40 14 9 55 75 69 13 37 85 59 74 93 33 4 99 11 71 100 63 60 82 58 3 91 23 30 18 29 56 78 51 22 21 98 89 32 2 79 24 15 65 62 66 86 8
41 50 70 22 54 86 17 56 34 88 24 61 42 46 65 8 53 100 9 73 58 39 3 20 68 97 72 2 78 30 64 71 52 6 47 37 82 29 27 55 57 48 49 93 12 35 62 80 99 98 87 45 4 43 90 32 69 26 21 59 63 81 25 11 67 76 51 10 96 91 16 83 84 14 7 1 85 18 38 13 74 5 31 89 66 15 19 75 60 77 36 28 40 44 95 92 94 33 79 23
9 65 96 58 41 23 79 38 54 36 43 100 15 20 25 68 28 95 64 94 4 62 12 14 10 70 59 35 78 91 80 31 46 69 42 21 39 90 67 37 92 87 81 50 72 93 66 44 30 52 40 88 19 84 45 5 61 16 34 17 22 8 74 77 83 86 97 51 1 89 7 99 32 53 76 29 13 56 98 6 24 11 85 33 49 71 26 57 48 55 2 75 3 73 63 27 60 18 82 47
39 99 63 46 89 87 4 81 94 54 60 95 24 59 3 29 68 11 33 92 38 66 86 62 14 22 74 43 32 69 77 83 26 10 36 27 31 35 53 50 9 48 76 67 85 16 70 65 90 84 57 82 80 30 45 2 42 61 25 58 56 49 28 41 73 8 23 21 93 88 7 12 17 78 19 75 15 34 98 55 47 96 71 20 100 44 5 40 18 79 37 6 91 72 51 97 52 1 64 13
97 91 89 58 88 5 34 1 74 52 29 48 51 47 39 49 87 82 57 18 41 54 50 9 81 55 76 2 64 85 30 35 3 45 56 21 71 27 99 26 43 37 73 25 77 80 20 11 44 22 70 14 86 4 92 67 59 93 31 60 68 6 94 46 33 24 12 32 96 61 66 72 53 38 16 17 42 15 8 83 69 28 19 79 100 98 90 62 95 36 23 10 75 78 7 65 40 13 84 63
53 89 18 71 94 80 22 27 62 8 81 98 21 93 17 6 44 4 88 61 95 69 32 45 7 64 59 52 73 9 28 54 65 46 35 31 3 23 77 90 12 96 92 30 63 72 56 25 39 14 68 60 84 33 38 37 47 55 41 79 2 1 36 66 76 48 67 49 86 5 85 97 20 42 24 50 99 82 70 16 75 91 57 51 87 26 11 34 10 74 40 15 19 13 78 29 58 43 100 83
61 41 48 47 59 6 96 12 16 92 22 91 69 38 58 14 86 9 77 20 23 78 4 13 43 62 71 97 24 19 46 7 95 90 15 3 2 39 29 44 93 76 33 31 56 89 28 36 94 57 52 88 26 50 8 65 10 17 11 98 53 73 18 34 25 30 45 64 100 60 99 79 81 5 80 74 63 21 40 27 54 42 82 70 85 67 83 49 35 66 75 32 51 87 37 84 55 68 72 1
81 89 62 88 70 64 9 13 39 34 4 17 59 40 83 12 36 33 100 71 8 60 49 98 68 55 53 28 87 58 94 2 96 66 92 21 44 72 75 76 25 41 80 5 3 67 51 86 18 84 85 90 99 1 31 29 95 56 11 61 20 14 6 77 54 63 22 32 26 78 46 69 15 91 79 37 50 65 97 42 43 24 45 7 47 93 19 23 30 38 57 35 27 73 52 10 16 48 82 74
93 67 77 49 11 79 20 29 56 74 21 46 95 99 22 100 6 61 76 60 97 50 31 58 24 87 54 68 13 37 7 65 35 62 96 88 8 81 33 43 85 52 10 5 28 3 71 30 26 51 48 64 23 55 86 78 98 44 90 38 12 94 91 15 25 39 70 83 57 63 19 59 75 41 27 84 14 66 73 18 2 16 42 34 53 1 36 82 40 17 45 80 9 69 47 89 32 92 72 4
50 7 26 32 77 72 75 5 2 25 81 58 78 33 35 10 74 53 99 67 97 52 64 62 70 71 84 100 88 8 31 54 68 85 51 95 3 49 39 80 21 45 96 23 42 18 98 83 9 36 61 11 79 66 55 4 73 90 37 46 91 20 65 22 12 41 87 59 60 76 27 92 14 28 40 48 82 16 94 44 57 6 24 30 43 93 63 38 34 86 13 17 56 89 19 15 69 29 1 47
8 49 76 65 66 89 10 100 34 16 30 21 83 25 20 84 47 55 90 42 26 27 29 64 52 68 74 86 19 97 54 85 57 58 3 22 28 77 69 1 36 11 91 4 37 67 38 59 61 96 23 39 40 32 2 46 6 95 71 81 82 75 12 43 15 79 63 44 9 45 18 78 7 17 33 92 80 62 87 88 53 5 13 60 48 50 94 14 56 98 73 72 51 93 24 35 41 70 99 31
12 51 26 64 46 93 80 24 23 73 63 44 6 70 74 97 84 20 83 40 30 81 25 15 29 62 96 22 76 9 98 71 95 38 54 82 99 72 41 5 33 69 94 31 42 58 1 45 89 2 66 53 32 49 35 13 17 39 61 78 92 34 85 90 50 28 55 14 21 68 47 3 11 59 52 60 37 19 91 7 87 88 56 10 57 4 100 16 67 65 27 48 75 86 18 36 8 77 79 43
85 41 55 44 89 65 26 35 69 72 63 12 54 28 57 82 71 88 23 92 22 58 97 6 3 15 46 5 100 29 37 93 19 91 24 81 83 32 86 73 56 2 47 45 70 31 42 61 94 87 53 25 4 99 21 49 75 38 39 90 18 20 78 68 8 33 11 80 10 43 52 27 64 9 40 48 98 84 79 66 30 67 36 77 1 95 59 51 7 62 96 16 14 34 13 60 17 74 76 50
30 17 57 14 19 35 41 62 33 61 85 80 98 21 51 78 69 79 46 22 24 96 66 2 37 93 8 47 6 43 92 38 58 72 50 13 15 64 44 16 31 20 42 84 73 1 28 59 56 100 27 70 83 45 75 40 29 89 97 94 34 54 68 87 18 76 5 52 63 88 65 9 53 23 12 39 67 60 74 77 10 4 11 95 99 90 7 81 25 71 49 32 26 82 48 3 36 86 55 91
77 15 89 50 97 82 17 52 54 87 43 40 4 74 73 45 8 98 21 48 51 55 24 3 66 65 37 26 70 67 84 79 5 58 34 6 35 56 91 88 92 49 60 53 80 64 62 13 28 68 18 31 47 11 99 76 20 75 59 12 96 39 72 63 86 14 7 83 85 81 27 61 78 95 38 44 32 30 33 19 36 90 71 16 23 1 94 46 93 9 41 25 29 22 100 69 42 10 2 57
76 55 71 57 54 79 82 19 44 2 96 97 17 30 83 99 78 51 7 84 5 53 43 8 64 33 1 81 36 73 28 49 50 29 32 40 77 88 69 52 59 31 60 48 58 66 10 100 3 21 86 61 9 56 75 41 4 94 34 87 90 70 47 26 85 13 24 16 39 37 72 91 95 63 35 22 62 89 68 46 45 38 65 98 42 23 25 74 6 67 27 93 12 11 14 15 92 18 20 80
76 18 80 11 85 60 47 30 97 57 91 83 41 28 79 75 78 100 51 67 4 37 48 72 77 22 31 2 19 84 99 40 94 49 82 42 29 73 45 93 9 20 69 24 32 64 15 54 12 6 25 1 23 56 55 63 58 98 16 17 35 89 70 14 26 44 81 53 7 13 33 65 27 39 88 52 59 96 5 38 68 43 21 95 10 3 86 50 66 90 71 36 74 62 34 92 61 46 8 87
74 51 22 35 1 89 72 24 10 28 31 17 54 69 77 70 90 92 94 87 38 80 81 21 36 66 97 57 82 96 41 32 37 50 49 84 58 27 65 67 5 45 18 19 48 20 56 39 44 95 6 42 12 53 3 93 34 86 85 88 59 79 98 11 2 15 61 7 78 4 29 91 64 33 9 46 71 68 99 23 8 75 13 16 63 73 55 25 62 40 76 47 83 26 52 43 60 14 100 30
53 83 49 50 20 96 29 55 70 99 51 56 91 27 54 3 43 94 15 22 92 18 73 57 13 84 85 46 38 71 93 77 82 6 24 72 23 67 4 95 58 90 8 75 69 30 10 64 12 80 74 2 66 81 5 11 60 31 36 79 89 76 59 86 17 61 100 37 41 26 97 28 32 7 98 63 52 42 44 35 47 33 9 34 16 21 62 19 68 25 78 48 14 1 87 39 40 45 65 88
97 73 24 48 81 74 34 88 9 90 2 62 53 18 50 26 22 56 60 1 99 17 3 95 6 68 13 100 42 16 79 71 76 77 11 91 67 4 78 38 10 49 37 70 92 12 64 25 14 23 28 40 65 5 45 7 55 84 19 61 20 39 89 82 96 46 72 75 43 35 15 41 54 87 44 57 36 33 86 66 29 94 30 31 85 32 8 52 98 83 27 59 69 80 47 63 58 51 21 93
26 69 93 5 67 65 33 12 25 56 94 7 75 51 96 72 92 3 41 39 24 46 54 18 45 74 68 44 71 91 97 17 4 77 50 8 55 76 1 62 6 34 86 88 90 66 11 21 14 35 80 53 89 100 15 85 28 95 64 59 52 63 60 40 36 13 29 58 98 79 87 81 48 16 49 42 37 82 43 30 23 83 10 84 31 99 32 57 20 61 47 22 38 70 19 2 78 73 27 9
91 28 9 39 89 58 50 43 55 17 40 96 97 45 52 46 92 60 87 7 98 22 95 47 12 18 86 11 51 32 62 75 15 24 5 6 48 66 100 85 68 29 73 2 37 61 10 94 25 20 23 81 1 64 54 49 27 38 57 14 42 78 53 19 21 76 80 13 30 65 67 70 82 3 31 83 90 34 69 4 56 35 99 93 88 71 26 63 77 79 36 72 16 8 44 59 74 33 41 84
45 36 57 66 33 38 35 78 70 31 65 8 9 73 76 68 83 18 28 91 53 17 93 95 3 84 30 88 27 62 11 14 19 47 82 97 44 99 77 42 69 2 98 52 6 72 37 96 85 41 80 34 22 60 55 10 13 90 100 1 48 92 4 43 64 71 50 40 86 67 49 51 24 39 16 20 56 94 54 79 74 46 89 12 7 21 59 15 29 5 23 61 32 58 25 63 81 26 87 75
55 38 79 69 64 34 51 15 13 97 16 30 90 86 74 19 26 42 95 10 12 66 63 91 73 84 76 80 93 27 94 23 6 32 60 20 14 59 17 5 22 62 67 48 39 7 89 11 61 2 33 41 75 70 87 50 40 29 92 85 25 21 9 99 100 18 78 43 8 46 71 83 37 58 72 1 82 44 98 65 68 88 45 54 53 47 96 28 24 49 77 36 57 31 3 52 81 35 4 56
62 28 82 2 32 1 55 36 95 49 63 4 33 56 71 83 13 25 76 42 77 69 86 59 6 12 34 92 70 24 57 99 39 85 22 26 79 9 5 88 45 74 100 48 3 16 29 31 91 81 47 53 43 11 68 66 15 93 27 94 80 18 7 75 78 23 44 51 84 8 73 41 98 90 72 60 10 50 35 46 64 58 65 37 54 96 67 97 20 87 14 38 89 17 52 19 30 40 21 61
9 85 96 95 51 26 22 67 16 73 19 45 70 41 23 61 40 8 98 52 15 4 57 50 62 6 56 100 89 21 12 3 60 59 38 46 42 78 97 54 83 33 25 79 77 35 11 28 99 72 86 92 1 27 94 49 2 39 74 71 64 32 55 65 20 13 29 37 36 44 31 76 24 82 30 84 34 43 18 10 91 17 68 66 88 80 81 53 47 7 93 90 5 75 63 58 87 69 14 48
32 29 39 22 66 86 94 17 76 85 56 43 41 99 24 3 16 65 7 84 21 52 81 33 35 98 47 58 37 46 62 31 19 51 8 48 70 26 30 67 28 36 96 72 20 5 9 69 12 49 91 80 54 95 90 97 92 13 64 23 93 89 53 14 6 40 2 10 82 25 42 63 71 50 11 75 73 27 100 55 68 18 87 15 38 77 79 88 44 45 74 1 60 83 34 4 59 61 78 57
25 97 72 5 17 67 99 31 13 79 75 73 59 41 94 18 74 78 38 20 49 15 11 1 93 9 76 95 8 68 16 43 87 69 86 42 21 37 26 27 80 58 66 81 7 46 92 3 64 90 60 51 29 70 56 50 4 100 47 14 55 71 39 83 33 45 2 65 24 40 91 63 36 23 53 30 84 85 48 52 96 32 82 19 57 62 28 35 12 61 77 98 44 89 22 6 88 10 34 54
39 64 16 59 97 46 18 80 17 36 86 76 81 26 88 8 21 51 61 53 52 57 3 49 34 84 79 15 73 55 78 72 5 95 58 54 71 12 32 63 27 9 14 56 47 7 4 90 94 74 42 29 38 40 37 83 92 87 35 1 62 48 67 25 23 10 89 66 100 93 77 68 60 22 50 20 33 11 6 75 28 96 98 45 2 19 70 44 82 65 41 85 31 91 99 13 69 43 24 30
33 90 48 69 51 75 5 46 2 31 77 32 21 72 99 12 13 16 73 27 53 60 71 26 9 83 29 93 62 74 10 100 23 55 41 44 87 63 78 80 30 85 96 70 88 17 7 24 86 82 56 6 39 35 25 45 76 81 94 98 64 61 4 1 97 52 79 58 65 42 34 84 91 95 59 14 19 66 22 3 47 49 28 50 36 20 92 67 15 37 40 38 68 11 8 89 43 57 18 54
65 66 75 48 32 2 12 86 72 56 26 14 35 78 20 5 51 7 19 37 99 59 74 73 25 76 93 58 92 27 33 69 55 36 39 87 8 23 49 95 52 13 47 54 84 17 71 85 90 77 15 29 60 9 82 28 10 97 50 44 1 3 57 31 6 43 24 96 22 94 21 89 67 11 34 45 41 63 53 83 18 91 64 46 70 80 100 81 98 16 79 88 42 61 40 68 38 62 30 4
72 62 36 85 68 19 74 89 34 10 27 56 73 63 47 1 52 99 65 81 50 61 76 95 23 54 88 26 32 44 60 86 94 18 84 8 9 5 92 79 24 55 64 57 53 75 70 83 91 31 69 48 7 51 2 96 59 82 17 25 28 12 39 37 46 16 98 93 6 66 3 100 77 22 40 13 49 33 45 21 41 67 78 4 30 11 35 97 29 90 38 42 14 15 20 43 71 87 58 80
46 100 82 77 9 99 47 1 56 11 84 3 4 17 95 32 97 14 7 72 20 98 76 44 18 28 23 43 27 48 39 25 75 13 80 35 66 51 68 63 8 41 93 54 22 6 90 12 10 38 21 30 71 52 73 60 92 87 34 19 91 88 64 69 62 86 16 59 40 49 65 70 31 15 85 50 58 67 94 61 33 26 24 53 96 81 42 57 83 36 74 79 78 45 55 37 5 2 29 89
53 39 34 55 8 68 85 27 73 46 5 81 69 50 16 88 44 47 40 60 63 38 51 26 45 22 74 94 75 20 98 61 70 33 19 82 64 54 72 25 42 4 93 10 66 79 23 58 76 18 31 6 99 3 24 56 49 52 17 11 84 48 9 78 91 12 87 41 92 100 28 96 7 90 80 71 62 32 1 14 43 57 83 35 95 30 2 89 86 37 97 15 29 13 67 65 21 77 59 36
72 84 91 29 31 63 7 70 67 56 16 86 5 97 20 21 58 25 27 26 14 45 17 76 88 51 75 36 4 73 71 19 55 38 10 80 47 40 99 35 53 68 46 3 48 94 69 79 65 33 61 50 90 60 41 15 22 81 100 96 2 24 54 6 42 30 49 77 39 11 82 74 89 28 64 23 12 92 98 52 44 34 93 87 9 43 37 32 78 1 85 62 8 18 59 95 13 57 83 66
69 72 77 79 81 28 34 18 97 29 76 80 98 10 12 70 33 100 44 61 64 96 13 63 57 14 35 20 47 37 8 50 22 38 78 73 56 11 95 62 93 99 42 83 31 9 23 85 5 87 91 52 25 92 46 66 90 17 26 30 41 67 71 59 75 84 48 74 49 1 94 21 3 60 54 7 68 40 4 15 24 2 16 89 36 86 19 55 6 53 58 88 82 51 43 27 45 65 39 32
48 28 99 25 90 98 77 89 81 5 2 53 39 75 96 11 38 43 91 17 68 100 47 50 74 79 46 52 61 62 23 16 34 59 57 63 93 64 49 72 21 73 78 85 70 13 7 29 83 8 67 37 54 24 95 94 18 33 12 3 55 6 15 40 36 71 88 82 69 45 31 30 42 20 9 65 35 84 92 97 60 41 86 14 32 26 44 10 56 19 80 76 58 51 1 66 27 22 4 87
88 86 67 8 44 90 56 94 42 89 61 37 47 53 71 7 28 69 15 91 98 97 16 54 1 70 76 58 6 13 77 36 78 5 66 35 33 34 18 62 43 24 75 46 45 49 9 82 29 92 74 93 63 17 40 80 50 73 65 81 23 48 21 22 68 4 26 32 30 25 3 52 72 38 79 84 14 96 19 57 51 31 99 11 55 85 59 100 39 12 27 95 2 20 10 87 60 64 83 41
17 26 19 20 58 12 82 61 96 59 4 100 73 31 90 16 27 32 60 64 54 25 70 21 66 83 41 75 36 42 55 56 84 37 51 72 10 57 74 7 9 87 85 81 50 67 8 28 30 88 13 48 63 44 94 24 62 3 76 40 99 23 43 79 6 65 5 49 1 39 68 45 22 15 47 86 33 34 2 71 18 93 91 53 97 69 11 80 38 98 95 35 92 29 52 89 78 14 77 46
95 22 44 64 15 38 70 51 29 75 93 45 87 30 36 97 73 23 7 67 98 80 16 14 82 59 8 50 96 12 90 19 71 52 54 20 46 81 85 83 69 100 63 35 43 40 28 57 2 61 32 18 21 49 74 26 33 39 34 99 27 65 58 68 66 94 6 91 5 31 37 53 60 88 25 86 4 42 92 77 84 55 11 9 41 24 79 48 89 76 10 17 72 62 47 56 13 3 78 1
62 7 77 56 64 70 42 79 10 93 41 50 83 39 47 43 34 4 35 5 18 20 76 3 54 98 25 26 100 85 51 6 60 94 24 69 31 66 28 68 45 88 65 91 2 74 32 90 8 27 30 55 19 87 53 67 15 95 36 75 96 14 73 92 13 52 80 84 33 81 16 78 82 21 49 9 17 1 23 71 61 37 58 44 46 22 11 48 97 59 72 38 40 99 86 29 12 89 63 57
54 9 23 97 93 81 100 51 71 46 63 57 88 67 52 85 15 6 36 7 1 8 62 33 48 91 55 50 44 65 22 83 68 92 37 30 69 53 42 5 32 90 11 13 4 29 40 89 60 27 75 61 56 86 14 98 76 78 24 31 3 82 2 41 72 64 84 26 34 21 43 99 49 28 94 17 79 58 77 96 45 73 38 20 12 19 66 39 47 10 25 18 16 35 74 87 80 70 95 59
26 98 53 45 20 63 14 62 5 72 57 93 32 69 35 19 48 30 94 86 27 23 80 46 11 70 25 42 77 58 50 65 66 43 7 87 67 40 34 73 89 18 36 47 44 96 6 16 9 2 95 81 12 75 49 54 59 24 8 90 37 82 51 97 71 22 21 3 1 28 68 92 85 39 78 88 99 10 56 29 83 60 64 13 17 52 79 74 61 55 31 100 33 91 76 41 15 38 84 4
67 44 21 91 52 23 62 10 11 46 86 40 93 39 3 92 35 95 98 30 16 31 36 89 83 82 22 47 84 100 13 85 1 75 51 88 79 56 53 64 58 72 20 33 8 76 71 78 2 59 12 65 69 74 60 57 25 77 49 43 45 68 61 73 26 63 41 28 24 80 27 32 29 15 37 18 54 19 90 55 81 6 97 9 4 96 70 42 66 48 5 7 38 99 50 94 34 17 87 14
43 41 24 39 83 11 36 92 91 19 57 85 49 55 37 8 18 99 67 78 2 10 6 66 3 34 15 68 13 51 89 27 93 80 20 75 1 52 32 70 33 96 63 17 94 82 23 38 4 31 7 28 59 47 21 29 88 61 30 12 81 74 97 98 40 65 48 45 14 76 50 46 58 22 16 60 35 64 87 95 26 9 73 77 72 5 84 53 25 42 86 54 56 62 69 79 90 44 71 100
